spell_id,key,name,effect_id
544,spell_544_effect,Ангельский защитник,
1000,spell_1000_effect,Аура жизни,
1001,spell_1001_effect,Аура очищения,
698,spell_698_effect,Бесследное передвижение,
549,spell_549_effect,Божественное благоволение,
551,spell_551_effect,Броня теней,
1005,spell_1005_effect,Вдохновляющая речь,
707,spell_707_effect,Видение невидимого,
560,spell_560_6,Волшебное оружие: Звук,
560,spell_560_8,Волшебное оружие: Кислота,
560,spell_560_5,Волшебное оружие: Огонь,
560,spell_560_13,Волшебное оружие: Холод,
560,spell_560_9,Волшебное оружие: Электричество,
560,spell_560_4,Волшебное оружие: Яд,
1018,spell_1018_effect,Высшая невидимость,
717,spell_717_blind,Слепота от заклинания,
717,spell_717_deaf,Глухота от заклинания,
571,spell_571_effect,Дар готовности,
572,spell_572_effect,Дар Локи,
576,spell_576_effect,Доспехи мага,
727,spell_727_effect,Дьявольская плоть,
731,spell_731_1,Заимствованные знания: Атлетика,
731,spell_731_2,Заимствованные знания: Акробатика,
731,spell_731_3,Заимствованные знания: Скрытность,
731,spell_731_4,Заимствованные знания: Ловкость рук,
731,spell_731_5,Заимствованные знания: Магия,
731,spell_731_6,Заимствованные знания: История,
731,spell_731_7,Заимствованные знания: Природа,
731,spell_731_8,Заимствованные знания: Религия,
731,spell_731_9,Заимствованные знания: Расследование,
731,spell_731_10,Заимствованные знания: Внимание,
731,spell_731_11,Заимствованные знания: Медицина,
731,spell_731_12,Заимствованные знания: Выживание,
731,spell_731_13,Заимствованные знания: Дрессировка,
731,spell_731_14,Заимствованные знания: Проницательность,
731,spell_731_15,Заимствованные знания: Обман,
731,spell_731_16,Заимствованные знания: Убеждение,
731,spell_731_17,Заимствованные знания: Исполнение,
731,spell_731_18,Заимствованные знания: Запугивание,
882,spell_882_effect,Замедление,
587,spell_587_effect,Защита от пустоты,
1032,spell_1032_effect,Защита от смерти,
886,spell_886_5,Защита от энергии: Огонь,
886,spell_886_13,Защита от энергии: Холод,
886,spell_886_9,Защита от энергии: Электричество,
886,spell_886_8,Защита от энергии: Кислота,
886,spell_886_6,Защита от энергии: Звук,
734,spell_734_effect,Защита от яда,
1225,spell_1225_effect,Истинное зрение,
899,spell_899_effect,Крепость интеллекта,
752,spell_752_effect,Магическое оружие,
910,spell_910_effect,Маяк надежды,
756,spell_756_effect,Ментальный барьер,
1403,spell_1403_effect,Неуязвимость,
1051,spell_1051_effect,Облачение тени,
1055,spell_1055_13,Тёплый щит,
1055,spell_1055_5,Прохладный щит,
1056,spell_1056_effect,Оружие Пустоты,
780,spell_780_effect,Охраняющая связь,
783,spell_783_effect,Паук,
937,spell_937_effect,Подводное дыхание,
941,spell_941_effect,Полёт,
645,spell_645_effect,Понимание языков,
646,spell_646_effect,Порча,
647,spell_647_effect,Поспешное отступление,
1256,spell_1256_lower,Потусторонний облик: Нижние планы,
1256,spell_1256_upper,Потусторонний облик: Верхние планы,
1257,spell_1257_lower,Потусторонний облик: Нижние планы,
1257,spell_1257_upper,Потусторонний облик: Верхние планы,
1407,spell_1407_effect,Предвидение,
796,spell_796_effect,Предупредительный окрик,
958,spell_958_effect,Притворная смерть,
657,spell_657_effect,Прыжок,
1194,spell_1194_effect,Священное оружие,
1081,spell_1081_effect,Синхронность,
673,spell_673_effect,Скороход,
1373,spell_1373_effect,Сокрытие разума,
526,spell_526_effect,Сопротивление,
984,spell_984_6,Стихийное оружие: Звук,
984,spell_984_8,Стихийное оружие: Кислота,
984,spell_984_5,Стихийное оружие: Огонь,
984,spell_984_13,Стихийное оружие: Холод,
984,spell_984_9,Стихийное оружие: Электричество,
1088,spell_1088_beast,Страж природы: Первобытный зверь,
1088,spell_1088_tree,Страж природы: Великое древо,
1091,spell_1091_effect,Тайны лабиринта,
823,spell_823_effect,Тёмное зрение,
1279,spell_1279_effect,Трансформация Тензера,
836,spell_836_effect,Увлекательная прогулка,
841,spell_841_effect,Удержание личности,
1206,spell_1206_effect,Удержание чудовища,
531,spell_531_effect,Указание,
844,spell_844_1,Бычья сила,
844,spell_844_2,Кошачья ловкость,
844,spell_844_3,Медвежья выносливость,
844,spell_844_4,Лисья хитрость,
844,spell_844_5,Совиная мудрость,
844,spell_844_6,Орлиное великолепие,
1207,spell_1207_1,Усиление навыка: Атлетика,
1207,spell_1207_2,Усиление навыка: Акробатика,
1207,spell_1207_3,Усиление навыка: Скрытность,
1207,spell_1207_4,Усиление навыка: Ловкость рук,
1207,spell_1207_5,Усиление навыка: Магия,
1207,spell_1207_6,Усиление навыка: История,
1207,spell_1207_7,Усиление навыка: Природа,
1207,spell_1207_8,Усиление навыка: Религия,
1207,spell_1207_9,Усиление навыка: Расследование,
1207,spell_1207_10,Усиление навыка: Внимание,
1207,spell_1207_11,Усиление навыка: Медицина,
1207,spell_1207_12,Усиление навыка: Выживание,
1207,spell_1207_13,Усиление навыка: Дрессировка,
1207,spell_1207_14,Усиление навыка: Проницательность,
1207,spell_1207_15,Усиление навыка: Обман,
1207,spell_1207_16,Усиление навыка: Убеждение,
1207,spell_1207_17,Усиление навыка: Исполнение,
1207,spell_1207_18,Усиление навыка: Запугивание,
992,spell_992_effect,Хождение по воде,
692,spell_692_effect,Щит,
995,spell_995_10,Щит звезды и тени: Некротическая энергия,
995,spell_995_7,Щит звезды и тени: Излучение,
855,spell_855_effect,Щит мыслей,
694,spell_694_effect,Щит шестерней,
1212,spell_1212_effect,Эйдетическая память,
997,spell_997_effect,Языки,
